Week,Relative interest,Interaction
6/18/17,13,Seed dispersal
6/25/17,10,Seed dispersal
7/2/17,11,Seed dispersal
7/9/17,10,Seed dispersal
7/16/17,8,Seed dispersal
7/23/17,8,Seed dispersal
7/30/17,7,Seed dispersal
8/6/17,7,Seed dispersal
8/13/17,7,Seed dispersal
8/20/17,7,Seed dispersal
8/27/17,6,Seed dispersal
9/3/17,9,Seed dispersal
9/10/17,10,Seed dispersal
9/17/17,11,Seed dispersal
9/24/17,12,Seed dispersal
10/1/17,14,Seed dispersal
10/8/17,14,Seed dispersal
10/15/17,15,Seed dispersal
10/22/17,12,Seed dispersal
10/29/17,13,Seed dispersal
11/5/17,15,Seed dispersal
11/12/17,14,Seed dispersal
11/19/17,12,Seed dispersal
11/26/17,12,Seed dispersal
12/3/17,11,Seed dispersal
12/10/17,10,Seed dispersal
12/17/17,6,Seed dispersal
12/24/17,5,Seed dispersal
12/31/17,8,Seed dispersal
1/7/18,11,Seed dispersal
1/14/18,10,Seed dispersal
1/21/18,15,Seed dispersal
1/28/18,13,Seed dispersal
2/4/18,16,Seed dispersal
2/11/18,10,Seed dispersal
2/18/18,10,Seed dispersal
2/25/18,12,Seed dispersal
3/4/18,15,Seed dispersal
3/11/18,15,Seed dispersal
3/18/18,11,Seed dispersal
3/25/18,11,Seed dispersal
4/1/18,12,Seed dispersal
4/8/18,15,Seed dispersal
4/15/18,18,Seed dispersal
4/22/18,16,Seed dispersal
4/29/18,17,Seed dispersal
5/6/18,17,Seed dispersal
5/13/18,14,Seed dispersal
5/20/18,15,Seed dispersal
5/27/18,11,Seed dispersal
6/3/18,13,Seed dispersal
6/10/18,14,Seed dispersal
6/17/18,9,Seed dispersal
6/24/18,10,Seed dispersal
7/1/18,10,Seed dispersal
7/8/18,10,Seed dispersal
7/15/18,10,Seed dispersal
7/22/18,8,Seed dispersal
7/29/18,7,Seed dispersal
8/5/18,8,Seed dispersal
8/12/18,4,Seed dispersal
8/19/18,7,Seed dispersal
